index,name,age,probability
2,27222,2879.5,0.000013137
2,27222,2874.5,0.00004204
2,27222,2869.5,0.00010879
2,27222,2864.5,0.00018766
2,27222,2859.5,0.00027009
2,27222,2854.5,0.0003786
2,27222,2849.5,0.0005257
2,27222,2844.5,0.0007312
2,27222,2839.5,0.0009938
2,27222,2834.5,0.001279
2,27222,2829.5,0.0015265
2,27222,2824.5,0.0016334
2,27222,2819.5,0.0014979
2,27222,2814.5,0.0011558
2,27222,2809.5,0.0006705
2,27222,2804.5,0.0003225
2,27222,2799.5,0.00014119
2,27222,2794.5,0.00007381
2,27222,2789.5,0.00005294
2,27222,2784.5,0.00006372
2,27222,2779.5,0.00010055
2,27222,2774.5,0.00015623
2,27222,2769.5,0.00018569
2,27222,2764.5,0.00020152
2,27222,2759.5,0.00021832
2,27222,2754.5,0.0002555
2,27222,2749.5,0.0003634
2,27222,2744.5,0.0005669
2,27222,2739.5,0.00081
2,27222,2734.5,0.0009079
2,27222,2729.5,0.0007573
2,27222,2724.5,0.0005182
2,27222,2719.5,0.0003202
2,27222,2714.5,0.00019636
2,27222,2709.5,0.00015905
2,27222,2704.5,0.00020405
2,27222,2699.5,0.0003662
2,27222,2694.5,0.000632
2,27222,2689.5,0.0007555
2,27222,2684.5,0.0006964
2,27222,2679.5,0.000648
2,27222,2674.5,0.0007105
2,27222,2669.5,0.0009651
2,27222,2664.5,0.0013454
2,27222,2659.5,0.0017361
2,27222,2654.5,0.0018258
2,27222,2649.5,0.0015849
2,27222,2644.5,0.0013439
2,27222,2639.5,0.0012056
2,27222,2634.5,0.0013261
2,27222,2629.5,0.001654
2,27222,2624.5,0.0023038
2,27222,2619.5,0.0031304
2,27222,2614.5,0.003613
2,27222,2609.5,0.003532
2,27222,2604.5,0.003243
2,27222,2599.5,0.0031239
2,27222,2594.5,0.002988
2,27222,2589.5,0.0027825
2,27222,2584.5,0.0028236
2,27222,2579.5,0.003413
2,27222,2574.5,0.004556
2,27222,2569.5,0.005577
2,27222,2564.5,0.005741
2,27222,2559.5,0.005478
2,27222,2554.5,0.005281
2,27222,2549.5,0.005207
2,27222,2544.5,0.005231
2,27222,2539.5,0.005325
2,27222,2534.5,0.005553
2,27222,2529.5,0.005743
2,27222,2524.5,0.005772
2,27222,2519.5,0.005743
2,27222,2514.5,0.005596
2,27222,2509.5,0.005292
2,27222,2504.5,0.005237
2,27222,2499.5,0.005556
2,27222,2494.5,0.005766
2,27222,2489.5,0.005426
2,27222,2484.5,0.005182
2,27222,2479.5,0.005309
2,27222,2474.5,0.0053
2,27222,2469.5,0.004274
2,27222,2464.5,0.0024346
2,27222,2459.5,0.0013147
2,27222,2454.5,0.0007302
2,27222,2449.5,0.0005138
2,27222,2444.5,0.0004629
2,27222,2439.5,0.0004592
2,27222,2434.5,0.0004253
2,27222,2429.5,0.0004018
2,27222,2424.5,0.0004092
2,27222,2419.5,0.0005092
2,27222,2414.5,0.000703
2,27222,2409.5,0.0007289
2,27222,2404.5,0.0005254
2,27222,2399.5,0.0003618
2,27222,2394.5,0.00025099
2,27222,2389.5,0.0002149
2,27222,2384.5,0.00026876
2,27222,2379.5,0.0003834
2,27222,2374.5,0.0005285
2,27222,2369.5,0.0006344
2,27222,2364.5,0.0006398
2,27222,2359.5,0.0006361
2,27222,2354.5,0.0006268
2,27222,2349.5,0.0005116
2,27222,2344.5,0.0003167
2,27222,2339.5,0.00016435
2,27222,2334.5,0.00009619
2,27222,2329.5,0.0000855
2,27222,2324.5,0.00010235
2,27222,2319.5,0.0001513
2,27222,2314.5,0.00017592
2,27222,2309.5,0.00018081
2,27222,2304.5,0.00016321
2,27222,2299.5,0.00012403
2,27222,2294.5,0.00007733
2,27222,2289.5,0.0000381
2,27222,2284.5,0.000017149
2,27222,2279.5,0.000008508
2,27222,2274.5,0.000004289
2,27222,2269.5,2.5859E-06
2,27222,2264.5,1.6855E-06
2,27222,2259.5,1.9164E-06
2,27222,2254.5,0.000003787
2,27222,2249.5,0.000009068
2,27222,2244.5,0.000018003
2,27222,2239.5,0.00002093
2,27222,2234.5,0.00001454
2,27222,2229.5,0.000008704
2,27222,2224.5,0.000007284
2,27222,2219.5,0.000008958
2,27222,2214.5,0.00001327
2,27222,2209.5,0.000012606
2,27222,2204.5,0.000004104
2,27222,2199.5,6.696E-07
2,27222,2194.5,9.235E-08
2,27222,2189.5,2.3089E-08
